ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth..m.,Area..m2.,Estimated.coordinates,Reference,ANP,Estimated.Area,Area.Loss,Loss.Index,Pollution,Coastal.Modification,Biological.Resource.Use,MHWs,Protection.Level,Validation,Threat.index,Red.List.Category,Zone,State,Region,
1,Halodule wrightii,2017,May,Campos-Davila,Balandra,24.32,-110.33,DD,24,No,Seagrass Halodule wrightii as a new habitat for the amphioxus Branchiostoma californiense (Cephalochordata. Branchiostomidae) in the southern Gulf of California. Mexico,Area de Proteccion de Flora y Fauna Balandra,0,24,NA,1,0,0,0.523931405,0.5,1,0.503988568,EN,La Paz,Baja California Sur,Southern Gulf,
2,Halodule wrightii,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
3,Ruppia maritima,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
4,Zostera marina,2013,December-May,Lopez-Calderon et al.,Punta Arenas,26.78,-111.86,DD,3000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
5,Zostera marina,2013,DD,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.19,DD,7000,Yes,El pasto marino en el Golfo de California: Estado actual y amenazas,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
6,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Perla,29.23,-112.3,DD,358100,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),325399.96,32700.04,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora ,Central Gulf,
7,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Ohna,29.07,-112.19,DD,642400,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1084736.25,-442336.25,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
8,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Estero El Sargento,29.01,-112.16,DD,11620000,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),537047.13,11082952.87,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
9,Ruppia maritima,1982,April-December,Flores-Verdugo et al.,El Verde,23.42,-106.56,1,DD,No,"Phytoplankton production and seasonal biomass variation of seagrass, Ruppia maritima L.,in a tropical mexican lagoon with an ephemeral inlet",Sitio Ramsar Playa Tortuguera El Verde Camacho,DD,DD,NA,1,1,1,0.910929102,0.5,0.5,0.818488184,CR,El Verde,Sinaloa,Southern Gulf,
10,Ruppia maritima,1983,January-July,Flores-Verdugo et al.,El Verde,23.42,-106.56,1,DD,No,"Phytoplankton production and seasonal biomass variation of seagrass, Ruppia maritima L.,in a tropical mexican lagoon with an ephemeral inlet",Sitio Ramsar Playa Tortuguera El Verde Camacho,DD,DD,NA,1,1,1,0.910929102,0.5,0.5,0.818488184,CR,El Verde,Sinaloa,Southern Gulf,
